Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.2,-1,Sport,5.9,18,1800,48.62285,-120.44865
"Levitation 29","Eagle Wall > 12-Oak Creek Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732443/levitation-29,3.8,-1,"Trad, Sport",5.11b/c,9,700,36.10438,-115.49498
"The Nightcrawler","Brownstone Wall > 11-Juniper Canyon > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/105920684/the-nightcrawler,3.8,-1,"Trad, Sport",5.10+,5,550,36.11483,-115.4957
"Amarillo Sunset","North 40 > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106286394/amarillo-sunset,3.9,-1,Sport,5.11b,1,50,37.6523,-83.7082
"Playin' Hooky","Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106701638/playin-hooky,3.3,-1,Sport,5.8,4,400,39.74102,-105.41042
Legacy,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106282216/legacy,3.9,-1,Sport,5.11a,1,90,38.05474,-81.05704
"Flying Hawaiian","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105910536/flying-hawaiian,3.8,-1,Sport,5.11b,1,,43.80386,-71.84091
Tachycardia,"Heart Rock > Heart Rock Area > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/107669530/tachycardia,3.7,-1,Sport,5.7,3,300,39.5561,-111.6708
"Southwest Arete","Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105956126/southwest-arete,3.8,-1,"Trad, TR",5.9-,1,50,37.32837,-118.57479
"Pure Palm","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803570/pure-palm,3.8,-1,Sport,5.11a,1,80,44.36798,-121.13081
Squawstruck,"Squaw Peak > Rock Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/106897735/squawstruck,3.3,-1,Sport,5.11-,22,1900,40.27201,-111.61624
O.R.G.asam,"Dihedrals > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105880789/orgasam,3.8,-1,Sport,5.11a,1,90,37.52838,-118.57396
Thoroughfare,"08: Two Pines Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105731057/thoroughfare,3.8,-1,"Trad, TR",5.11a,1,50,43.41367,-89.7134
Grindrite,"Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105911420/grindrite,3.9,-1,Sport,5.11b,1,100,37.52751,-118.57443
Humanality,"Ladder Routes (Humanality Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105895220/humanality,3.8,-1,Sport,5.10c/d,5,300,8.0171,98.8341
"Satisfaction Guaranteed","The Satisfaction Wall > Summersville Lake (main) > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,-1,Sport,5.11-,1,65,38.24161,-80.8422
"Moons of Pluto","(q) Mesa Verde Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803003/moons-of-pluto,3.8,-1,Sport,5.10d,1,95,44.36866,-121.14442
"Not My Cross To Bear","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753910/not-my-cross-to-bear,3.8,-1,Sport,5.11a/b,1,,37.84519,-106.28863
"Breakfast Burrito","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081922/breakfast-burrito,3.7,-1,Sport,5.10c,1,80,37.65292,-83.72495
"Coffindaffer's Dream","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108768795/coffindaffers-dream,3.8,-1,Sport,5.11a,1,90,38.14336,-80.91556
